Time (s), Height (m), Velocity (m/s)
0.000,0.0148,
0.0167,-0.00464,-1.06
0.0334,-0.0208,-1.16
0.0502,-0.0435,-1.35
0.0669,-0.0661,-1.55
0.0836,-0.0952,-1.74
0.100,-0.124,-1.84
0.117,-0.157,-2.13
0.134,-0.195,-2.32
0.151,-0.234,-2.22
0.167,-0.270,-2.32
0.184,-0.312,-2.80
0.201,-0.364,-2.90
0.217,-0.409,-3.19
0.234,-0.470,-3.48
0.251,-0.525,-3.19
0.268,-0.577,-3.39
0.284,-0.639,-3.97
0.301,-0.710,-4.10
0.317,-0.774,-4.06
0.334,-0.846,-4.02
0.351,-0.910,-4.35
0.368,-0.991,-4.84
0.385,-1.07,-3.87
0.401,-1.12,