t,y,vy
0.00E+00,1.48E-02,
1.67E-02,-4.64E-03,-1.06E+00
3.34E-02,-2.08E-02,-1.16E+00
5.02E-02,-4.35E-02,-1.35E+00
6.69E-02,-6.61E-02,-1.55E+00
8.36E-02,-9.52E-02,-1.74E+00
1.00E-01,-1.24E-01,-1.84E+00
1.17E-01,-1.57E-01,-2.13E+00
1.34E-01,-1.95E-01,-2.32E+00
1.51E-01,-2.34E-01,-2.22E+00
1.67E-01,-2.70E-01,-2.32E+00
1.84E-01,-3.12E-01,-2.80E+00
2.01E-01,-3.64E-01,-2.90E+00
2.17E-01,-4.09E-01,-3.19E+00
2.34E-01,-4.70E-01,-3.48E+00
2.51E-01,-5.25E-01,-3.19E+00
2.68E-01,-5.77E-01,-3.39E+00
2.84E-01,-6.39E-01,-3.97E+00
3.01E-01,-7.10E-01,-4.10E+00
3.17E-01,-7.74E-01,-4.06E+00
3.34E-01,-8.46E-01,-4.02E+00
3.51E-01,-9.10E-01,-4.35E+00
3.68E-01,-9.91E-01,-4.84E+00
3.85E-01,-1.07E+00,-3.87E+00
4.01E-01,-1.12E+00,